time, pressure
19:56:17.094, 1003.87
19:56:18.084, 1003.80
19:56:19.123, 1003.80
19:56:20.120, 1003.77
19:56:21.112, 1003.83
19:56:22.144, 1003.71
19:56:23.137, 1003.85
19:56:24.130, 1003.91
19:56:25.167, 1003.75
19:56:26.158, 1003.84
19:56:27.152, 1003.76
19:56:28.194, 1003.71
19:56:29.187, 1003.71
19:56:30.184, 1003.84
19:56:31.217, 1003.86
19:56:32.209, 1003.84
19:56:33.205, 1003.81
19:56:34.194, 1003.73
19:56:35.235, 1003.78
19:56:36.232, 1003.85
19:56:37.230, 1003.80
19:56:38.228, 1003.70
19:56:39.271, 1003.74
19:56:40.261, 1003.82
19:56:41.250, 1003.85
19:56:42.289, 1003.77
19:56:43.286, 1003.79
19:56:44.275, 1003.72
19:56:45.273, 1003.73
19:56:46.316, 1003.76
19:56:47.313, 1003.71
19:56:48.307, 1003.69
19:56:49.299, 1003.66
19:56:50.339, 1003.65
19:56:51.322, 1003.70
19:56:52.353, 1003.70
19:56:53.337, 1003.68
19:56:54.368, 1003.75
19:56:55.352, 1003.70
19:56:56.381, 1003.71
19:56:57.366, 1003.70
19:56:58.398, 1003.70
19:56:59.377, 1003.65
19:57:00.407, 1003.74
19:57:01.389, 1003.67
19:57:02.420, 1003.66
19:57:03.403, 1003.66
19:57:04.433, 1003.73
19:57:05.418, 1003.68
19:57:06.449, 1003.76
19:57:07.432, 1003.65
19:57:08.459, 1003.71
19:57:09.440, 1003.68
19:57:10.469, 1003.70
19:57:11.454, 1003.64
19:57:12.483, 1003.70
19:57:13.467, 1003.63
19:57:14.498, 1003.54
19:57:15.489, 1003.69
19:57:16.521, 1003.65
19:57:17.505, 1003.62
19:57:18.535, 1003.65
19:57:19.518, 1003.62
19:57:20.511, 1003.55
19:57:21.532, 1003.65
19:57:22.565, 1003.75
19:57:23.552, 1003.59
19:57:24.537, 1003.53
19:57:25.569, 1003.66
19:57:26.554, 1003.67
19:57:27.587, 1003.57
19:57:28.574, 1003.50
19:57:29.610, 1003.53
19:57:30.595, 1003.67
19:57:31.624, 1003.68
19:57:32.608, 1003.77
19:57:33.639, 1003.57
19:57:34.622, 1003.75
19:57:35.652, 1003.67
19:57:36.635, 1003.57
19:57:37.634, 1003.66
19:57:38.670, 1003.58
19:57:39.652, 1003.61
19:57:40.680, 1003.66
19:57:41.673, 1003.58
19:57:42.661, 1003.52
19:57:43.691, 1003.66
19:57:44.674, 1003.62
19:57:45.704, 1003.69
19:57:46.689, 1003.71
19:57:47.719, 1003.69
19:57:48.703, 1003.72
19:57:49.735, 1003.66
19:57:50.718, 1003.61
19:57:51.748, 1003.75
19:57:52.730, 1003.64
19:57:53.759, 1003.72
19:57:54.746, 1003.64
19:57:55.781, 1003.70
19:57:56.766, 1003.64
19:57:57.796, 1003.59
19:57:58.778, 1003.56
19:57:59.808, 1003.56
19:58:00.788, 1003.72
19:58:01.821, 1003.56
19:58:02.808, 1003.72
19:58:03.838, 1003.69
19:58:04.822, 1003.54
19:58:05.852, 1003.62
19:58:06.834, 1003.55
19:58:07.865, 1003.51
19:58:08.848, 1003.68
19:58:09.878, 1003.68
19:58:10.863, 1003.59
19:58:11.889, 1003.60
19:58:12.870, 1003.58
19:58:13.905, 1003.61
19:58:14.888, 1003.54
19:58:15.919, 1003.59
19:58:16.902, 1003.62
19:58:17.933, 1003.69
19:58:18.914, 1003.53
19:58:19.943, 1003.50
19:58:20.925, 1003.61
19:58:21.954, 1003.59
19:58:22.936, 1003.58
19:58:23.967, 1003.58
19:58:24.954, 1003.58
19:58:25.939, 1003.59
19:58:26.970, 1003.68
19:58:27.998, 1003.63
19:58:28.975, 1003.52
19:58:30.006, 1003.63
19:58:30.990, 1003.61
19:58:32.021, 1003.59
19:58:33.007, 1003.51
19:58:33.995, 1003.63
19:58:35.026, 1003.54
19:58:36.051, 1003.63
19:58:37.034, 1003.65
19:58:38.061, 1003.64
19:58:39.043, 1003.60
19:58:40.063, 1003.62
19:58:41.046, 1003.68
19:58:42.076, 1003.68
19:58:43.059, 1003.58
19:58:44.090, 1003.60
19:58:45.073, 1003.55
19:58:46.099, 1003.59
19:58:47.091, 1003.56
19:58:48.120, 1003.65
19:58:49.103, 1003.65
19:58:50.133, 1003.56
19:58:51.117, 1003.59
19:58:52.149, 1003.56
19:58:53.132, 1003.64
19:58:54.164, 1003.73
19:58:55.149, 1003.62
19:58:56.180, 1003.64
19:58:57.164, 1003.67
19:58:58.194, 1003.66
19:58:59.173, 1003.57
19:59:00.201, 1003.52
19:59:01.183, 1003.63
19:59:02.213, 1003.64
19:59:03.194, 1003.61
19:59:04.226, 1003.58
19:59:05.207, 1003.61
19:59:06.239, 1003.53
19:59:07.221, 1003.56
19:59:08.249, 1003.58
19:59:09.230, 1003.54
19:59:10.255, 1003.66
19:59:11.237, 1003.59
19:59:12.267, 1003.57
19:59:13.252, 1003.72
19:59:14.282, 1003.72
19:59:15.264, 1003.63
19:59:16.293, 1003.67
19:59:17.278, 1003.75
19:59:18.308, 1003.64
19:59:19.289, 1003.66
19:59:20.318, 1003.54
19:59:21.301, 1003.62
19:59:22.327, 1003.61
19:59:23.356, 1003.61
19:59:24.340, 1003.68
19:59:25.371, 1003.67
19:59:26.354, 1003.64
19:59:27.383, 1003.69
19:59:28.363, 1003.62
19:59:29.392, 1003.53
19:59:30.377, 1003.55
19:59:31.405, 1003.58
19:59:32.378, 1003.60
19:59:33.398, 1003.59
19:59:34.425, 1003.51
19:59:35.407, 1003.57
19:59:36.436, 1003.60
19:59:37.419, 1003.64
19:59:38.443, 1003.60
19:59:39.425, 1003.69
19:59:40.456, 1003.65
19:59:41.440, 1003.70
19:59:42.469, 1003.70
19:59:43.451, 1003.63
19:59:44.479, 1003.55
19:59:45.464, 1003.84
19:59:46.493, 1003.61
19:59:47.477, 1003.47
19:59:48.506, 1003.52
19:59:49.489, 1003.65
19:59:50.518, 1003.62
19:59:51.501, 1003.63
19:59:52.532, 1003.59
19:59:53.517, 1003.65
19:59:54.546, 1003.74
19:59:55.529, 1003.70
19:59:56.559, 1003.64
19:59:57.543, 1003.64
19:59:58.572, 1003.58
19:59:59.555, 1003.54
20:00:00.581, 1003.64
20:00:01.563, 1003.71
20:00:02.593, 1003.63
20:00:03.577, 1003.71
20:00:04.602, 1003.59
20:00:05.629, 1003.72
20:00:06.613, 1003.61
20:00:07.640, 1003.53
20:00:08.623, 1003.58
20:00:09.652, 1003.51
20:00:10.635, 1003.61
20:00:11.664, 1003.52
20:00:12.647, 1003.63
20:00:13.676, 1003.64
20:00:14.659, 1003.63
20:00:15.688, 1003.60
20:00:16.671, 1003.54
20:00:17.701, 1003.58
20:00:18.684, 1003.58
20:00:19.714, 1003.49
20:00:20.697, 1003.54
20:00:21.727, 1003.56
20:00:22.713, 1003.53
20:00:23.744, 1003.50
20:00:24.727, 1003.47
20:00:25.758, 1003.49
20:00:26.738, 1003.57
20:00:27.767, 1003.44
20:00:28.750, 1003.59
20:00:29.780, 1003.63
20:00:30.763, 1003.68
20:00:31.791, 1003.76
20:00:32.776, 1003.72
20:00:33.805, 1003.72
20:00:34.788, 1003.69
20:00:35.817, 1003.79
20:00:36.800, 1003.72
20:00:37.826, 1003.80
20:00:38.808, 1003.83
20:00:39.838, 1003.79
20:00:40.867, 1003.86
20:00:41.851, 1003.87
20:00:42.882, 1003.90
20:00:43.865, 1004.00
20:00:44.895, 1003.74
20:00:45.878, 1003.93
20:00:46.907, 1003.88
20:00:47.888, 1003.96
20:00:48.916, 1003.85
20:00:49.899, 1003.84
20:00:50.928, 1003.91
20:00:51.911, 1003.83
20:00:52.941, 1003.80
20:00:53.925, 1003.89
20:00:54.955, 1003.94
20:00:55.938, 1003.86
20:00:56.969, 1003.87
20:00:57.954, 1003.85
20:00:58.981, 1003.82
20:00:59.961, 1003.90
20:01:00.994, 1003.91
20:01:01.976, 1003.77
20:01:03.004, 1003.91
20:01:03.987, 1003.90
20:01:05.016, 1003.87
20:01:06.047, 1003.77
20:01:07.028, 1003.89
20:01:08.059, 1003.81
20:01:09.042, 1003.92
20:01:10.073, 1003.77
20:01:11.055, 1003.84
20:01:12.089, 1003.88
20:01:13.072, 1003.84
20:01:14.102, 1003.81
20:01:15.084, 1003.86
20:01:16.111, 1003.77
20:01:17.100, 1003.81
20:01:18.089, 1003.77
20:01:19.120, 1003.82
20:01:20.102, 1003.92
20:01:21.130, 1003.82
20:01:22.160, 1003.84
20:01:23.144, 1003.78
20:01:24.128, 1003.82
20:01:25.157, 1003.78
20:01:26.184, 1003.85
20:01:27.164, 1003.88
20:01:28.193, 1003.85
20:01:29.178, 1003.82
20:01:30.207, 1003.78
20:01:31.191, 1003.82
20:01:32.221, 1003.87
20:01:33.206, 1003.93
20:01:34.235, 1003.95
20:01:35.221, 1003.71
20:01:36.250, 1003.84
20:01:37.232, 1003.85
20:01:38.261, 1003.78
20:01:39.243, 1003.79
20:01:40.273, 1003.76
20:01:41.257, 1003.78
20:01:42.287, 1003.80
20:01:43.272, 1003.84
20:01:44.303, 1003.80
20:01:45.286, 1003.77
20:01:46.314, 1003.78
20:01:47.298, 1003.84
20:01:48.329, 1003.68
20:01:49.311, 1003.82
20:01:50.341, 1003.77
20:01:51.324, 1003.84
20:01:52.354, 1003.72
20:01:53.337, 1003.80
20:01:54.367, 1003.79
20:01:55.350, 1003.68
20:01:56.378, 1003.69
20:01:57.365, 1003.73
20:01:58.394, 1003.60
20:01:59.375, 1003.76
20:02:00.405, 1003.80
20:02:01.389, 1003.75
20:02:02.415, 1003.64
20:02:03.443, 1003.77
20:02:04.426, 1003.63
20:02:05.455, 1003.74
20:02:06.439, 1003.77
20:02:07.465, 1003.71
20:02:08.450, 1003.66
20:02:09.481, 1003.65
20:02:10.463, 1003.69
20:02:11.492, 1003.79
20:02:12.476, 1003.79
20:02:13.507, 1003.76
20:02:14.491, 1003.82
20:02:15.523, 1003.78
20:02:16.506, 1003.89
20:02:17.536, 1003.97
20:02:18.519, 1003.94
20:02:19.547, 1004.02
20:02:20.530, 1003.95
20:02:21.559, 1004.02
20:02:22.543, 1004.05
20:02:23.574, 1004.00
20:02:24.558, 1004.06
20:02:25.586, 1004.11
20:02:26.574, 1004.10
20:02:27.612, 1004.03
20:02:28.597, 1004.11
20:02:29.628, 1004.11
20:02:30.609, 1004.13
20:02:31.641, 1004.02
20:02:32.621, 1004.09
20:02:33.648, 1004.09
20:02:34.646, 1004.08
20:02:35.631, 1004.10
20:02:36.640, 1004.12
20:02:37.659, 1004.15
20:02:38.662, 1004.09
20:02:39.692, 1004.07
20:02:40.678, 1004.18
20:02:41.704, 1004.18
20:02:42.689, 1004.13
20:02:43.678, 1004.18
20:02:44.700, 1004.09
20:02:45.731, 1004.17
20:02:46.715, 1004.14
20:02:47.745, 1004.23
20:02:48.733, 1004.14
20:02:49.760, 1004.05
20:02:50.746, 1004.08
20:02:51.774, 1004.18
20:02:52.760, 1004.11
20:02:53.746, 1004.15
20:02:54.776, 1004.12
20:02:55.759, 1004.23
20:02:56.791, 1004.04
20:02:57.773, 1004.16
20:02:58.802, 1004.10
20:02:59.828, 1004.03
20:03:00.813, 1004.09
20:03:01.837, 1004.12
20:03:02.821, 1004.08
